File Name,Total,Top-1 Acc (%),Top-3 Acc (%),Top-5 Acc (%),Top-10 Acc (%),Top-20 Acc (%),Found,Found (%),Not Found,Not Found (%),Fail,Fail (%)
php-8-objects-patterns-practice-main_src_ch09_batch14_1_AppointmentMaker.php,52,63.46,82.69,90.38,100.0,100.0,52,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch14_1_Runner.php,161,53.42,83.23,91.93,98.76,98.76,161,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch14_1_AppointmentMaker2.php,66,62.12,84.85,90.91,96.97,100.0,66,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch09_CommsManager.php,65,23.08,61.54,73.85,86.15,100.0,65,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch09_ApptEncoder.php,28,50.0,71.43,82.14,96.43,100.0,28,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch09_MegaApptEncoder.php,35,65.71,85.71,91.43,97.14,100.0,35,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch09_Runner.php,62,46.77,77.42,85.48,95.16,95.16,62,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch09_BloggsApptEncoder.php,35,65.71,85.71,91.43,97.14,100.0,35,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch09_BloggsCommsManager.php,96,46.88,82.29,86.46,97.92,100.0,96,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch09_MegaCommsManager.php,95,46.32,82.11,86.32,97.89,100.0,95,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch10_CommsManager.php,68,45.59,67.65,80.88,91.18,100.0,68,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch10_ApptEncoder.php,30,50.0,76.67,83.33,96.67,100.0,30,100.0,0,0.0,0,0.0
