File Name,Total,Found,Found (%),Not Found,Not Found (%),Fail,Fail (%)
learn-haskell-by-example-main_chapter9_properties_src_Data_AssocMap.hs,895,895,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter9_properties_src_Test_SimpleCheck.hs,1290,1290,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter9_properties_src_Caesar_Caesar.hs,286,286,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter9_properties_src_Caesar_QuickCheckProperties.hs,142,142,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter9_properties_src_Caesar_SimpleCheckProperties.hs,177,176,99.44,1,0.56,0,0.0
learn-haskell-by-example-main_chapter5+6_ladder-fast_Setup.hs,7,7,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter5+6_ladder-fast_test_Spec.hs,9,9,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter5+6_ladder-fast_app_Main.hs,93,93,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter5+6_ladder-fast_src_Ladder.hs,297,295,99.33,2,0.67,0,0.0
learn-haskell-by-example-main_chapter5+6_ladder-fast_src_PermutationMap.hs,258,258,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter5+6_ladder-fast_src_Graph.hs,764,764,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter5+6_ladder-fast_src_Data_AssocMap.hs,448,448,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter5+6_ladder-optimized_Setup.hs,7,7,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter5+6_ladder-optimized_test_Spec.hs,9,9,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter5+6_ladder-optimized_app_Main.hs,96,96,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter5+6_ladder-optimized_src_Ladder.hs,375,373,99.47,2,0.53,0,0.0
learn-haskell-by-example-main_chapter5+6_ladder-optimized_src_PermutationMap.hs,329,329,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter5+6_ladder-optimized_src_Graph.hs,1306,1306,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter5+6_ladder-optimized_src_Data_AssocMap.hs,448,448,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter5+6_ladder-slow_Setup.hs,7,7,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter5+6_ladder-slow_test_Spec.hs,9,9,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter5+6_ladder-slow_app_Main.hs,93,93,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter5+6_ladder-slow_src_Ladder.hs,297,295,99.33,2,0.67,0,0.0
learn-haskell-by-example-main_chapter5+6_ladder-slow_src_PermutationMap.hs,293,293,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter5+6_ladder-slow_src_Graph.hs,727,727,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter5+6_ladder-slow_src_Exercises.hs,736,736,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter5+6_ladder-slow_src_Data_AssocMap.hs,448,448,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter16+17_todolist_Setup.hs,7,7,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter16+17_todolist_test_Spec.hs,9,9,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter16+17_todolist_app_Client.hs,576,576,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter16+17_todolist_app_Server.hs,287,287,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter16+17_todolist_src_Todos_Types.hs,172,172,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter16+17_todolist_src_Todos_Api.hs,89,89,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter16+17_todolist_src_Todos_Handlers.hs,468,468,100.0,0,0.0,0,0.0
learn-haskell-by-example-main_chapter16+17_todolist_src_Todos_Database.hs,216,216,100.0,0,0.0,0,0.0
